Study_Hours,Attendance,Assignments_Completed,Previous_Score,Final_Score
4.4,71,2,48,70.9
9.6,63,9,78,100.0
7.6,87,4,70,96.7
6.4,74,3,71,92.3
2.4,67,2,80,82.7
2.4,82,4,89,92.3
1.5,83,3,51,79.0
8.8,67,3,47,87.5
6.4,100,7,47,87.1
7.4,89,2,89,98.0
1.2,60,3,67,78.6
9.7,72,7,59,97.7
8.5,59,4,86,96.4
2.9,79,5,46,80.1
2.6,56,2,50,69.0
2.7,64,9,59,85.8
3.7,84,8,55,90.8
5.7,99,8,43,86.7
4.9,59,4,45,70.1
3.6,87,4,61,90.3
6.5,55,3,65,80.8
2.3,72,2,42,64.1
3.6,86,8,80,96.8
4.3,65,8,81,100.0
5.1,75,3,53,82.6
8.1,80,8,50,97.8
2.8,79,9,57,88.3
5.6,76,2,93,97.1
6.3,81,10,51,96.5
1.4,67,8,62,78.1
6.5,87,4,51,84.1
2.5,88,9,52,89.0
1.6,95,8,64,86.1
9.5,89,9,84,100.0
9.7,55,7,90,100.0
8.3,75,10,58,99.3
3.7,60,6,94,91.8
1.9,82,4,85,89.6
7.2,71,4,75,93.7
5.0,59,2,84,90.3
2.1,85,9,47,83.3
5.5,59,3,68,86.3
1.3,92,4,94,94.4
9.2,57,9,92,100.0
3.3,77,9,94,100.0
7.0,91,5,71,94.4
3.8,91,5,90,94.4
5.7,64,6,83,96.5
5.9,64,7,57,86.0
2.7,73,6,45,78.6
9.7,71,8,57,97.7
8.0,75,3,58,90.5
9.5,68,8,61,100.0
9.1,63,8,76,100.0
6.4,100,2,71,96.9
9.3,55,8,95,100.0
1.8,99,6,80,92.0
2.8,67,4,42,70.9
1.4,58,4,67,74.9
3.9,55,5,49,71.7
4.5,94,3,90,96.0
3.4,86,3,74,85.6
8.5,88,2,68,96.8
4.2,82,6,93,98.3
3.5,85,5,54,81.5
5.9,62,3,72,91.0
2.3,93,4,46,78.6
8.2,80,8,51,94.0
1.7,88,8,88,100.0
9.9,57,5,69,100.0
8.0,66,6,60,93.2
2.8,55,6,70,76.4
1.0,98,7,63,90.3
8.3,59,10,59,90.9
7.4,84,3,76,100.0
7.6,84,6,43,91.8
7.9,71,4,67,99.5
1.7,77,5,83,91.3
4.2,69,7,59,85.4
2.0,91,9,63,89.9
8.8,75,2,89,100.0
6.6,68,9,88,100.0
4.0,56,8,90,100.0
1.6,65,2,71,78.1
3.8,93,3,80,92.2
3.9,92,4,75,100.0
7.6,88,2,92,100.0
6.7,92,10,73,100.0
9.0,88,9,75,100.0
5.2,72,3,41,78.0
2.1,84,10,54,85.0
7.4,69,8,73,100.0
7.8,81,10,75,100.0
6.1,88,7,45,78.4
7.9,92,7,78,100.0
5.4,87,5,81,99.8
5.7,78,3,90,98.5
4.8,69,8,90,100.0
1.2,84,6,93,98.9
2.0,96,7,51,84.4
1.3,71,3,42,65.8
6.7,59,6,84,100.0
3.8,83,5,57,84.9
5.6,58,10,79,99.9
9.2,64,7,60,92.9
3.2,71,3,54,71.8
4.7,64,2,72,80.8
7.8,71,6,74,100.0
3.1,74,10,65,92.1
1.7,78,7,47,73.1
3.6,59,8,75,93.6
2.5,88,6,87,100.0
9.4,60,7,69,98.6
8.3,56,6,62,87.3
6.7,67,10,81,100.0
8.8,97,7,83,100.0
8.2,97,9,53,100.0
2.7,65,3,53,70.8
9.0,77,10,41,99.8
5.9,70,6,94,100.0
8.3,85,8,76,100.0
9.1,65,2,44,79.9
3.9,70,6,77,90.9
2.0,62,3,84,83.8
3.1,58,7,80,93.9
4.8,94,2,93,100.0
8.4,58,4,86,100.0
8.7,79,6,53,96.4
1.1,57,5,95,95.4
5.6,86,4,78,94.2
4.8,57,6,64,87.0
3.0,81,9,59,82.9
2.1,83,5,41,69.9
4.0,86,2,78,90.6
9.5,73,8,45,95.5
3.9,75,9,56,88.5
5.7,59,4,64,83.6
7.3,72,7,67,96.4
4.3,82,3,41,79.6
9.7,96,8,74,100.0
9.7,76,9,76,100.0
3.3,75,7,44,81.4
5.5,60,7,40,80.2
3.7,55,6,79,86.2
3.6,59,9,51,85.2
1.3,95,2,95,93.0
6.5,66,5,75,91.5
5.5,80,5,84,100.0
1.5,100,4,62,80.0
3.5,88,4,86,94.5
9.2,68,5,70,99.2
3.2,80,2,50,81.8
2.3,99,3,49,76.3
5.4,81,10,42,87.2
9.9,63,3,93,100.0
3.2,80,6,53,78.8
7.0,76,10,55,98.2
7.9,84,10,49,100.0
3.1,97,9,68,96.3
7.6,71,2,49,85.5
4.3,80,2,51,78.9
6.7,90,10,69,100.0
6.7,55,9,80,100.0
5.8,62,10,40,83.3
1.8,89,8,44,80.1
8.5,69,4,59,91.9
3.9,76,4,47,79.2
2.7,68,3,82,88.8
1.4,80,6,51,70.3
6.3,82,4,40,80.6
7.1,77,7,93,100.0
1.1,68,3,59,72.6
5.6,78,4,67,90.3
3.0,56,6,82,92.7
6.8,99,2,76,98.8
2.6,80,2,86,90.8
7.2,68,10,76,100.0
4.5,61,8,51,87.0
9.4,57,2,76,95.1
2.2,77,9,88,100.0
4.1,100,4,88,100.0
2.0,97,9,95,100.0
9.3,99,6,83,100.0
8.9,72,2,95,99.4
3.3,92,8,67,91.4
6.9,89,6,86,100.0
8.4,69,7,54,97.2
6.0,79,7,45,86.9
5.8,91,9,83,100.0
3.2,82,10,59,89.5
1.8,64,3,89,87.7
9.1,93,10,53,100.0
9.1,71,10,41,94.6
6.7,93,8,48,94.5
4.1,76,2,76,85.4
4.1,80,8,59,87.5
7.5,98,6,65,100.0
9.1,79,7,68,100.0
9.0,71,8,40,88.1
8.0,67,6,94,100.0
6.8,74,8,74,98.5
1.8,79,10,45,81.4
2.5,58,4,76,86.0
9.1,64,9,92,100.0
6.5,57,3,44,83.2
1.1,95,8,72,94.0
1.9,99,3,88,95.7
7.0,72,5,90,100.0
1.0,90,8,53,82.1
2.4,76,4,51,73.6
5.9,88,3,81,91.8
7.2,62,8,59,96.0
6.9,94,2,92,100.0
3.0,98,9,89,100.0
7.4,73,4,63,92.3
3.1,96,3,82,95.9
3.9,95,4,73,92.4
7.7,91,6,64,99.8
6.8,60,9,89,100.0
8.6,80,8,68,100.0
6.9,88,8,78,100.0
6.1,99,8,70,98.7
1.8,60,9,95,94.7
4.3,91,2,86,98.0
3.4,87,5,82,92.1
3.2,76,7,89,100.0
9.8,75,10,62,100.0
4.5,60,3,83,88.9
9.0,60,2,77,93.2
6.7,58,3,59,86.3
8.2,84,8,62,100.0
5.5,65,4,84,96.1
6.2,84,3,91,100.0
5.4,85,8,55,90.3
2.8,78,3,89,89.3
7.5,63,4,81,97.7
3.5,57,8,94,96.6
1.2,85,5,47,69.7
6.8,94,2,89,100.0
2.6,91,6,60,89.3
9.5,90,10,40,96.1
9.6,78,9,94,100.0
9.2,85,10,47,100.0
4.3,60,10,68,93.9
1.1,56,8,71,80.1
9.4,74,5,77,100.0
4.9,82,6,44,86.6
9.7,65,2,86,100.0
9.7,58,2,61,91.2
8.7,69,4,86,100.0
3.7,60,9,73,90.1
4.5,84,3,40,74.0
8.7,92,5,94,100.0
3.9,56,3,94,95.2
2.5,69,6,65,87.2
6.0,65,10,82,100.0
9.4,62,2,49,85.7
7.3,80,6,69,100.0
6.1,99,10,89,100.0
1.9,98,2,57,83.9
6.5,59,10,56,97.4
9.9,60,9,65,100.0
2.3,80,5,47,77.0
5.7,58,6,86,98.7
8.9,73,6,79,100.0
7.7,74,7,88,100.0
7.3,87,8,51,98.5
7.3,74,9,66,100.0
4.2,66,9,47,83.1
3.6,55,3,64,82.0
8.3,80,10,85,100.0
8.3,68,8,43,89.6
8.8,92,5,72,100.0
9.2,91,5,40,87.0
5.6,65,9,58,89.2
5.5,90,5,70,97.9
8.2,67,7,55,94.2
6.8,97,6,53,91.5
7.3,57,4,92,99.8
8.2,87,3,87,100.0
9.0,60,10,44,95.7
4.0,64,10,80,98.1
4.4,59,2,65,85.3
1.8,77,4,67,82.3
6.2,64,9,41,84.0
1.3,98,7,89,99.0
5.2,56,6,45,77.3
5.9,67,6,48,83.7
3.6,94,7,72,100.0
6.3,56,8,80,98.2
1.3,74,2,64,75.0
1.3,55,10,87,94.3
8.4,91,4,52,96.2
4.2,63,5,48,72.9
2.1,71,2,92,91.0
5.7,63,4,52,78.3
7.9,65,3,70,94.3
2.9,69,3,80,85.6
6.6,78,2,50,75.3
1.8,92,9,43,83.2
1.5,89,4,73,87.8
5.8,84,4,77,95.2
5.9,85,7,85,100.0
6.7,59,9,43,81.6
7.5,98,10,77,100.0
9.8,68,10,58,100.0
5.6,65,5,45,76.7
3.9,63,6,73,87.7
8.2,88,3,57,92.4
3.4,66,10,52,92.2
5.0,89,9,80,100.0
